id,fuente,fecha,lat,lon,zona,puntaje,nivel,razones,barco,mmsi,estado,registrado_en,ciclo_ingreso
INC-2E9B77AF,SAR,2025-10-20,-33.72,-72.30000305175781,ZEE_interior,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (64.8 km): +15 | opera en grupo (19 oscuros ese día): +10",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-182E5A21,SAR,2025-10-20,-32.12,-71.95999908447266,ZEE_interior,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (82.8 km): +15 | opera en grupo (19 oscuros ese día): +10",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-FC322A97,SAR,2025-10-20,-32.53,-71.94000244140625,ZEE_interior,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (46.8 km): +15 | opera en grupo (19 oscuros ese día): +10",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-61194E8D,SAR,2025-10-20,-32.25,-72.23999786376953,ZEE_interior,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (88.2 km): +15 | opera en grupo (19 oscuros ese día): +10",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-5451937C,SAR,2025-10-18,-33.49,-72.30000305175781,ZEE_interior,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (63.8 km): +15 | opera en grupo (8 oscuros ese día): +10",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-B5E05E3C,SAR,2025-10-13,-33.41,-72.02999877929688,ZEE_interior,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (42.5 km): +15 | opera en grupo (12 oscuros ese día): +10",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-62EA0AF7,SAR,2025-10-13,-33.29,-71.87000274658203,ZEE_interior,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (36.5 km): +15 | opera en grupo (12 oscuros ese día): +10",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-27281764,SAR,2025-10-13,-33.34,-72.05999755859375,ZEE_interior,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (48.8 km): +15 | opera en grupo (12 oscuros ese día): +10",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-36ACA057,SAR,2025-10-13,-33.39,-71.9000015258789,ZEE_interior,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (33.5 km): +15 | opera en grupo (12 oscuros ese día): +10",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-0AF1E69D,SAR,2025-10-13,-33.53,-72.12000274658203,ZEE_interior,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (46.7 km): +15 | opera en grupo (12 oscuros ese día): +10",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
